Group,Participant,LexTALE,CFT,Age,AoA,Years,ClozeTest,ClozeTestP
German,101,68.75,27,26,10,15,20,71.42857143
German,103,90,29,28,11,8,20,71.42857143
German,105,70,40,22,8,14,20,71.42857143
German,106,95,27,37,5,8,20,71.42857143
German,109,83.75,29,22,8,14,20,71.42857143
German,110,82.5,37,21,6,14,20,71.42857143
German,111,75,33,21,12,15,20,71.42857143
German,112,77.5,37,23,8,15,27,96.42857143
German,113,85,29,23,8,15,20,71.42857143
German,114,88.75,45,30,11,10,27,96.42857143
German,115,88.75,29,30,12,7,22,78.57142857
German,116,78.25,39,22,9,11,20,71.42857143
German,117,90,35,32,10,22,20,71.42857143
German,118,88.75,41,23,9,12,25,89.28571429
German,119,91.75,42,23,9,14,20,71.42857143
German,120,97.5,33,28,9,14,23,82.14285714
German,122,97.5,44,24,8,16,22,78.57142857
German,124,87.5,28,25,10,15,20,71.42857143
German,125,70,31,22,6,15,20,71.42857143
German,126,88.75,41,28,9,19,22,78.57142857
German,127,72.5,31,22,6,15,22,78.57142857
German,128,70,33,20,8,11,21,75
German,129,88,32,33,24,15,22,78.57142857
German,132,76.25,35,19,11,14,24,85.71428571
Spanish,301,68.75,37,25,8,15,21,75
Spanish,302,67.5,25,24,6,17,22,78.57142857
Spanish,303,68.75,44,27,6,20,25,89.28571429
Spanish,304,68.75,43,22,3,19,21,75
Spanish,305,66.25,28,22,3,19,22,78.57142857
Spanish,306,78.75,39,28,9,19,24,85.71428571
Spanish,307,62.5,42,20,7,11,25,89.28571429
Spanish,308,82.5,27,33,6,6,23,82.14285714
Spanish,309,73.75,32,30,8,21,20,71.42857143
Spanish,310,76.25,29,25,8,14,19,67.85714286
Spanish,312,70,33,26,6,19,22,78.57142857
Spanish,315,65,25,22,6,15,19,67.85714286
Spanish,316,71.25,24,23,8,14,25,89.28571429
Spanish,318,71.25,43,32,10,7,21,75
Spanish,319,76.25,34,22,3,18,19,67.85714286
Spanish,320,67.5,44,27,8,18,22,78.57142857
Spanish,321,71.25,28,24,7,2,24,85.71428571
Spanish,322,67.5,31,24,6,17,19,67.85714286
Spanish,323,75,47,22,6,15,26,92.85714286
Spanish,324,86.25,22,22,6,15,24,85.71428571
Spanish,326,81.25,26,24,6,12,23,82.14285714
Spanish,327,67.5,25,20,6,12,21,75
Spanish,328,76.25,42,20,5,14,22,78.57142857
Croatian,201,82.5,34,29,6,23,24,85.71428571
Croatian,202,77.5,30,24,9,16,23,82.14285714
Croatian,203,77.5,31,22,8,14,24,85.71428571
Croatian,204,91.25,38,19,6,13,23,82.14285714
Croatian,205,77.5,44,19,11,9,27,96.42857143
Croatian,206,96.25,37,24,10,14,24,85.71428571
Croatian,207,75,31,23,4,18,26,92.85714286
Croatian,209,91.25,37,27,7,20,28,100
Croatian,210,93.75,33,20,10,10,26,92.85714286
Croatian,211,78.75,28,21,6,15,21,75
Croatian,212,87.5,36,21,10,11,24,85.71428571
Croatian,213,80,28,21,7,15,23,82.14285714
Croatian,214,83.75,40,21,6,13,21,75
Croatian,215,87.5,34,20,3,17,23,82.14285714
Croatian,216,85,37,22,6,17,26,92.85714286
Croatian,217,82.5,42,23,6,17,24,85.71428571
Croatian,219,70,24,22,7,13,23,82.14285714
Croatian,220,82.5,25,23,3,20,21,75
Croatian,221,91.25,43,22,6,12,27,96.42857143
Croatian,222,87.5,50,20,3,17,26,92.85714286
Croatian,223,88.75,24,21,7,15,22,78.57142857
Croatian,224,95,26,24,3,21,26,92.85714286
Croatian,225,97.5,29,22,7,15,26,92.85714286
Croatian,226,91.25,39,19,7,11,27,96.42857143
Croatian,227,71.25,22,19,6,12,23,82.14285714
Croatian,228,77.5,26,22,7,14,27,96.42857143
Croatian,229,92.5,42,23,8,15,25,89.28571429
Croatian,230,87.5,34,21,4,16,27,96.42857143
Croatian,231,91.25,31,24,2,16,27,96.42857143
Croatian,232,85,32,21,2,18,25,89.28571429
Croatian,233,78.75,39,22,5,17,24,85.71428571
Croatian,234,85,40,21,6,15,27,96.42857143
Croatian,235,75,51,20,4,16,21,75
Croatian,236,70,32,24,11,7,22,78.57142857
Croatian,237,80,33,21,4,16,27,96.42857143
Croatian,239,91.25,39,24,10,14,26,92.85714286
Croatian,240,95,29,21,6,15,22,78.57142857
Croatian,241,70,19,21,10,5,21,75
Croatian,242,68.75,30,20,15,5,22,78.57142857
Croatian,243,91.25,37,20,6,14,22,78.57142857
